Nivel,Referencia solicitada,Mes,Razon social,Plataforma,Marca,Comuna,Proyecto,PEP,Nombre de campana,ID transaccion / N factura,Fecha de pago,N referencia,Codigo descripcion cobro,Desglose Cobro TC,Monto moneda origen,Monto US,Validacion monto,Monto real visible,Monto aperturado,Invoice ID,Invoice date,Reference type,Mapping brand,Matched,Split index,Split count
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Balance,I-ALM-2358,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,4,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Carrera 4,I-ALM-2275,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,5,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Indico,I-ALM-1453,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,6,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Insigne,I-ALM-2157,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,7,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Los Cactus,I-ALM-2342,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,8,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Lyon Bilbao,I-ALM-2211,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,9,14
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,Marca,PLP 1,I-ALM-2226,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,10,14
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,Marca,PLP 2,I-ALM-2306,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,11,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,Parque Brasil,I-ALM-2285,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,12,14
Apertura,U5FV3L56E2,2026-04,Arcilla Roja,Meta,Almagro Inmobiliaria,Marca,Rengo,I-ALM-2288,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,13,14
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Marca,San Eugenio 2,I-ALM-2227,FB_Almagro_Awareness,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,5718,600000.0,666.36,Coincide,,5718.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,14,14
TOTAL CAMPANA,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Antofagasta,Almagro Terra,I-ALM-2360,FB_AOT_Antofagasta_AlmagroTerra,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,42305.0,600000.0,666.36,Coincide,42305.0,,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,,1
Apertura,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Antofagasta,Almagro Terra,I-ALM-2360,FB_AOT_Antofagasta_AlmagroTerra,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,42305.0,600000.0,666.36,Coincide,,42305.0,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,1,1
TOTAL CAMPANA,U5FV3L56E2,2026-04,Almagro S.A,Meta,Almagro Inmobiliaria,Providencia,Balance,I-ALM-2358,FB_AOT_Santiago_Balance,26566300523055307-26255391604146204,2026-04-08,U5FV3L56E2,U5FV3L56E2,28063.0,600000.0,666.36,Coincide,28063.0,,meta-almagro-inmobiliaria-2026-04,2026-04-30,transactionId,Almagro,True,,1
